Nawisko aktualne,Liczba
WYCINKA,96
WYLĘGA,96
ZABRANIAK,96
ZAKURZEWSKI,96
ZAPĘDOWSKI,96
ZBĄSKI,96
ZEMLER,96
ZGIRSKI,96
ZIMNICA,96
ADAMUSZEK,95
ALEKSIEIEV,95
ANDERSEN,95
ANDRONIK,95
APCZYŃSKI,95
AUGUSTYNIOK,95
BABACZ,95
BAIRAMOV,95
BALURA,95
BARTOSEK,95
BAWEŁKIEWICZ,95
BAŻAN,95
BĄDER,95
BELCZEWSKI,95
BENEDYKCIŃSKI,95
BENEWIAT,95
BERBECKI,95
BIAŁOGOŃSKI,95
BIENIAWSKI,95
BINIEWSKI,95
BŁONKA,95
BOCHOWICZ,95
BOLT,95
BONDA,95
BORZECHOWSKI,95
BRAKOWSKI,95
BRUDKOWSKI,95
BRZUZAN,95
BUCAŁA,95
BUZIEWICZ,95
BYDOŁEK,95
BŹDZION,95
CĘCEK,95
CHABELSKI,95
CHROŁ,95
CHYZH,95
CIELEPA,95
CIERPIK,95
CIĘŻAR,95
CIUKSZA,95
CYROCKI,95
CZEREDA,95
DEJNEKO,95
DENYSOV,95
DEOROCKI,95
DOJLIDKO,95
DOMACIUK,95
DORABIALSKI,95
DROPIEWSKI,95
DZIKLIŃSKI,95
DZIUDZIA,95
EJMA,95
FĄFERA,95
FITUŁA,95
FITYKA,95
FRALA,95
FRYNAS,95
GAWRECKI,95
GIESE,95
GŁUSZCZUK,95
GOGLER,95
GOŁASZ,95
GOŁDYKA,95
GOŁOWICZ,95
GONEK,95
GORCZAK,95
GRABUŚ,95
GREIF,95
GRELUS,95
GRUBALSKI,95
GUŻYŃSKI,95
GZYRA,95
HAŁABIŚ,95
HAMRYSZAK,95
HARENDA,95
HERISZ,95
HEWIG,95
HOŁYSZKO,95
HOPEJ,95
HORYŃSKI,95
HOŚCIŁOWICZ,95
HURNIK,95
JAKUBIŃSKI,95
JAMROZEK,95
JANEWICZ,95
JARAWKA,95
JEŁOWICKI,95
JĘDO,95
JÓŹWIKOWSKI,95
KAJDY,95
KALASHNYK,95
KAŁACZYŃSKI,95
KAMPIK,95
KAMRAD,95
KAPŁANEK,95
KARDASIEWICZ,95
KAREWICZ,95
KAROS,95
KAS,95
KASZCZYC,95
KATAŃSKI,95
KAWCZYK,95
KAZAKOV,95
KAZLOU,95
KIELECKI,95
KIONA,95
KLAJMON,95
KLAJNA,95
KŁOK,95
KOBIAŁKO,95
KOBRZAK,95
KOGUTOWSKI,95
KOKHAN,95
KOLEKTA,95
KOLMAGA,95
KOMONIEWSKI,95
KONIUSZEK,95
KORPIKIEWICZ,95
KORYZNA,95
KOSTON,95
KRYZIŃSKI,95
KSOŃ,95
KUCZOK,95
KUDRYS,95
KUSSY,95
KWIK,95
LEONHARD,95
LIASHUK,95
LIPISZKO,95
LIWOWSKI,95
LIZIŃSKI,95
LUBKIEWICZ,95
LUBOIŃSKI,95
LUCHKO,95
ŁABĄDŹ,95
ŁAŃDUCH,95
ŁOWCZYK,95
MAŁASZEWICZ,95
MAMIAK,95
MARAŚ,95
MAREKWIA,95
MARGULA,95
MAŚNICKI,95
MATACHOWSKI,95
MAZALEWSKI,95
MELCHIOR,95
MIATKOWSKI,95
MICHELIS,95
MIEŃKOWSKI,95
MIKSTACKI,95
MINIAS,95
MIODYŃSKI,95
MISALA,95
MODERACKI,95
MONIAKOWSKI,95
MONTEWSKI,95
MRUG,95
MUZIA,95
MYŚLISZ,95
NABIAŁKOWSKI,95
OKRZOS,95
OLIYNYK,95
OMELAŃSKI,95
PANOV,95
PAPIÓR,95
PECUCH,95
PEZDAN,95
PIECZABA,95
PIENIĄŻKIEWICZ,95
PIĘTOSA,95
PIROŻEK,95
POGŁODZIŃSKI,95
POKRZYK,95
PORYDZAJ,95
POSPISZYL,95
PRAWUCKI,95
PRELEWICZ,95
PRZASNEK,95
PSARSKI,95
PUDLARZ,95
RACHFALSKI,95
RADZIUKIEWICZ,95
RAGINIA,95
RATMAN,95
REBELKA,95
REMER,95
RENDA,95
RETMAŃCZYK,95
RUPICZAK,95
RUSINKIEWICZ,95
RYBOWSKI,95
RYGULSKI,95
RYSTWEJ,95
RZĄDZKI,95
SAWECZKO,95
SCHAUER,95
SEJNOWSKI,95
SERAFINIAK,95
SIAŁKOWSKI,95
SIDZ,95
SIEKACZYŃSKI,95
SIERECKI,95
SIUDYŁA,95
SKRYPKA,95
SKRZATEK,95
SKUMIAŁ,95
SŁODKOWICZ,95
SŁUJA,95
SOBOTTA,95
SOLIWODZKI,95
SORDOŃ,95
STAISZ,95
STRZEŻYSZ,95
STUKA,95
STUKUS,95
SYMONENKO,95
SZARNECKI,95
SZEFCZYK,95
SZEFNER,95
SZKOBEL,95
SZLĘG,95
SZMELC,95
SZNUROWSKI,95
SZPIEGA,95
SZRAMOWIAT,95
SZUPIEŃKO,95
SZYMEK,95
SZYPCIO,95
ŚWIĘCIK,95
TOŁYSZ,95
TRAJER,95
TUŚNIO,95
TWARUŻEK,95
TYLECKI,95
TYZA,95
UGOWSKI,95
UMLAUF,95
URBANCZYK,95
WACHOLC,95
WARZYSZYŃSKI,95
WECHMAN,95
WIDZISZEWSKI,95
WIEDEŃSKI,95
WITALA,95
WIZIMIRSKI,95
WOCŁAW,95
WOJDAŁOWICZ,95
WOLA,95
WOLARCZAK,95
WOLCZYK,95
WOSINEK,95
WOZNIAK,95
WÓDCZYŃSKI,95
WYDERKIEWICZ,95
WYPCHOŁ,95
ZARUSKI,95
ZAWISKA,95
ZBIERALSKI,95
ZHUKOVSKYI,95
ŻELAŚKIEWICZ,95
ŻEROMIŃSKI,95
ŻYTOWIECKI,95
ANDRACZEK,94
ANDRUCHEWICZ,94
ATLIŃSKI,94
ATŁACHOWICZ,94
BABICH,94
BACHYNSKYI,94
BAGIER,94
BAŃBOR,94
BLEZIEŃ,94
BLUDNIK,94
BŁOCHOWICZ,94
BOGACZYŃSKI,94
BRANDYK,94
BREJNA,94
BRODOWIAK,94
BRUN,94
BRYGIDER,94
BUBNOWSKI,94
CEGIEL,94
CHENG,94
CHUDOBSKI,94
CYPLIK,94
CYRANA,94
CZERWONKO,94
CZESZEL,94
CZUCHWICKI,94
CZULUK,94
CZUPAK,94
CZYLKOWSKI,94
ĆWIRTA,94
DANIŁ,94
DEMIROV,94
DENISZEWSKI,94
DĘBOWIEC,94
DRECZKO,94
DREŚLIŃSKI,94
DRYGULSKI,94
DRYZEK,94
DUBLAŃSKI,94
DUKLEWSKI,94
DWUŻNIK,94
DZIĄGWA,94
DZIESIŃSKI,94
DZIĘGELEWSKI,94
ENGLOT,94
FEDUREK,94
FEDYSHYN,94
FIGATOWSKI,94
FITEK,94
FITZNER,94
FOLTYNIAK,94
FOREMNIK,94
FORSTER,94
FRELIGA,94
FUŚNIK,94
GACAL,94
GALACH,94
GALEMBA,94
GALLE,94
GDELA,94
GERCZAK,94
GIETEK,94
GIZDOŃ,94
GŁOMBIOWSKI,94
GŁOŚNICKI,94
GOLJAT,94
GORĄCZKOWSKI,94
GOSTKIEWICZ,94
GOŹDZIELA,94
GRABOLUS,94
GRĄBKOWSKI,94
GRELECKI,94
GRODKIEWICZ,94
GRONALEWSKI,94
HAJKO,94
HAMOWSKI,94
HARTABUS,94
HEJNICKI,94
IBRAGIMOV,94
JAKOWIECKI,94
JAKSIM,94
JASKROWSKI,94
JASZ,94
JAZY,94
JAŻDZEWSKI,94
JECHALIK,94
JENIEC,94
JURGIEWICZ,94
JURKOJĆ,94
JUZOŃ,94
KACZMARYK,94
KAFTAŃSKI,94
KAMIN,94
KANIUT,94
KARCZMARCZUK,94
KARDYŃSKI,94
KAROŃSKI,94
KARPICZ,94
KARZEŁEK,94
KASIAN,94
KAZECKI,94
KLENCZAR,94
KLIMOV,94
KLUWAK,94
KOLAR,94
KOŁAZIŃSKI,94
KONDZIOŁA,94
KONICZUK,94
KOPRYK,94
KORDYSZ,94
KOSINIAK,94
KOSTURKIEWICZ,94
KOSZLAGA,94
KOSZYKA,94
KRAMAR,94
KRAŚNIK,94
KRAWCZENKO,94
KUBIKOWSKI,94
KUCHERUK,94
KURKO,94
KWIDZYŃSKI,94
LECZYCKI,94
LEKSIŃSKI,94
LEVY,94
LIBERKA,94
LIEBERT,94
LISTWON,94
LYSIK,94
LYTVYNOV,94
ŁAJTAR,94
ŁAŹNIEWSKI,94
ŁEŃSKI,94
ŁOMŻYŃSKI,94
ŁOSIOWSKI,94
ŁUCZYWO,94
ŁUKAWIECKI,94
ŁUŻAK,94
MACHOWIEC,94
MACIEJKOWICZ,94
MAGROWSKI,94
MAKAREVICH,94
MAKAŚ,94
MAKIEJ,94
MALACA,94
MALEŃKI,94
MALISZAK,94
MARKÓW,94
MARKWAT,94
MATEL,94
MĄDRZYCKI,94
MENCNAROWSKI,94
MES,94
MĘDOŃ,94
MIHAYLOV,94
MISIELAK,94
MOCAŁA,94
MORDWA,94
MOROŃSKI,94
MROZEK GLISZCZYŃSKI,94
MYRONOV,94
MYTYK,94
NADKAŃSKI,94
NAGABA,94
NALEWAJA,94
NASKRĘTSKI,94
NASTALSKI,94
NESTERAK,94
NIETOPIEL,94
NISZCZOTA,94
OBRĘBOWSKI,94
OCHLA,94
OŁPIŃSKI,94
OPACZYŃSKI,94
OPANOWSKI,94
OPATOWICZ,94
OSTALECKI,94
OTOKA,94
OWSIAN,94
PACIOCH,94
PAŁUSKA,94
PARNOWSKI,94
PIETEK,94
PIGULAK,94
PIKULICKI,94
PILACZYŃSKI,94
PILUK,94
PILŻYS,94
PODKULSKI,94
POLCZAK,94
POŁOCKI,94
POŁUBOK,94
POPIOŁKOWSKI,94
POSIECZEK,94
PRZECISZOWSKI,94
PRZEMYŁSKI,94
PYCZAK,94
PYRĆ,94
PYTLASIŃSKI,94
RACHAŃCZYK,94
RAMBIERT,94
RANECKI,94
RĄBKOWSKI,94
REIMER,94
REJTER,94
ROSŁY,94
RYNKUN,94
RZEPCZAK,94
SAŁANOWSKI,94
SAMELSKI,94
SELA,94
SEMENCHUK,94
SENEJKO,94
SERĘGA,94
SIC,94
SIEMAK,94
SIEPRACKI,94
SIERPINA,94
SKRUDLIK,94
SKWARZEC,94
SMĘDRA,94
SOBIESZYŃSKI,94
SOCZEWIŃSKI,94
SOKOLUK,94
SOŁDYŃSKI,94
SPADEK,94
SPIEGEL,94
STASZUK,94
STRUCZEWSKI,94
SURGIEL,94
SYLWESIUK,94
SYNCERZ,94
SZANKOWSKI,94
SZCZESIK,94
SZEFFLER,94
SZERMENT,94
SZTYKIEL,94
SZUKSZTUL,94
SZYBICKI,94
ŚLIMOK,94
TAUROGIŃSKI,94
TECMER,94
TŁUCZYKONT,94
TUKIENDORF,94
TYCZEWSKI,94
WARSO,94
WAWRZYCZNY,94
WEJEROWSKI,94
WENDZONKA,94
WICHURA,94
WIESZCZYK,94
WOJCIUKIEWICZ,94
WOJTYSZYN,94
WOLERT,94
WORONIN,94
WROTNOWSKI,94
WUDZIŃSKI,94
YADAV,94
ZASIM,94
ZENDER,94
ZORZYCKI,94
ZUBKIEWICZ,94
ZUŚKA,94
ZYZEK,94
ŻANKOWSKI,94
ŻYCHOŃ,94
ŻYTNIEWSKI,94
ALBOSZTA,93
ALIKOWSKI,93
ANUSZCZYK,93
ANYSZKIEWICZ,93
ARENTEWICZ,93
BARC,93
BARTUSZ,93
BAWER,93
BIAŁDYGA,93
BIELICA,93
BIMEK,93
BŁAWUT,93
BŁĘDNIAK,93
BODAL,93
BODYŁ,93
BONDZIUL,93
BOROŚ,93
BOTOREK,93
BRZEŚKIEWICZ,93
BUKRABA,93
BUŁANOWSKI,93
BUŁDYS,93
BURSZTYKA,93
BZDUCH,93
CEBULARZ,93
CEP,93
CESAK,93
CHLEBIEJ,93
CHOPTIANY,93
CHRYŃ,93
CHYZIŃSKI,93
CIEBIELSKI,93
CIEPIELAK,93
CIKOWSKI,93
CZAPRAŃSKI,93
CZEBRESZUK,93
CZERWICKI,93
CZMUT,93
CZYŻNIAK,93
DANIELCZOK,93
DEMKIV,93
DEMYDENKO,93
DRABA,93
DYBKO,93
DZICZKOWSKI,93
ERWARDT,93
FERTYK,93
GABRIELCZYK,93
GALIOS,93
GANOWICZ,93
GARNOWSKI,93
GENSLER,93
GERYK,93
GIERACZ,93
GIERCUSZKIEWICZ,93
GIERULSKI,93
GŁADCZAK,93
GOJOWY,93
GOLEMBKA,93
GOŁYGA,93
GOŚCIŁO,93
GRONTKOWSKI,93
GRUDNOWSKI,93
GRUDZIĄDZ,93
GRUM,93
GRYZIECKI,93
GUENTHER,93
GUMUL,93
GUROK,93
GUSZCZYŃSKI,93
HACZELA,93
HAŁAŚ,93
HARAŚNY,93
HARBAT,93
HERETA,93
HIMEL,93
HOŁYS,93
HRYNCZYSZYN,93
HUCALUK,93
HUDZ,93
HUNDERT,93
IWANECZKO,93
JAKUBICKI,93
JARGAN,93
JAROMIRSKI,93
JĘCZMIŃSKI,93
JUJA,93
JUNKIEWICZ,93
KAŁMUCZAK,93
KANISZEWSKI,93
KAPRUZIAK,93
KARNÓWKA,93
KARST,93
KARULAK,93
KASIANIUK,93
KEMBŁOWSKI,93
KĘPKOWSKI,93
KHYZHNIAK,93
KIEŁBAS,93
KIERA,93
KIRYŁA,93
KLAWCZYŃSKI,93
KLEPS,93
KLIKOWSKI,93
KLUF,93
KŁYSIŃSKI,93
KOCAK,93
KOCZĄB,93
KOCZYŃSKI,93
KOLIBABSKI,93
KOMENDARCZYK,93
KOŃKO,93
KORBACZ,93
KORPYŚ,93
KORSUN,93
KOSTENCKI,93
KOZICZYŃSKI,93
KRĄPIEC,93
KRIESE,93
KROCZYK,93
KRONER,93
KRUSZYNIAK,93
KRYVYI,93
KRZYWNIAK,93
KUDEŃ,93
KUMOSIŃSKI,93
KURZEP,93
KUSZPA,93
LAKOWSKI,93
LASZCZOWSKI,93
LASZKO,93
LEKARCZYK,93
LIRA,93
LOTZ,93
LUBIEŃSKI,93
LUTAK,93
ŁABARZEWSKI,93
ŁABUDEK,93
ŁAZUK,93
ŁONAK,93
ŁYŻEŃ,93
MACHLIK,93
MACHUTA,93
MAGNES,93
MAKIOLA,93
MALAKA,93
MAMAJEK,93
MAMCZYŃSKI,93
MARCHWICA,93
MATEJSKI,93
MECKIER,93
MERTENS,93
MICHNIKOWSKI,93
MIERZICKI,93
MIGASZEWSKI,93
MISIACZYK,93
MITROSZ,93
MORUZGAŁA,93
MOTACKI,93
MOTAL,93
MOZAL,93
MUCZKO,93
MYC,93
NALBACH,93
NAWRA,93
NIEDEK,93
NIERWIŃSKI,93
NIESYN,93
NIGBOR,93
NOWOJSKI,93
ODBIERZYCHLEB,93
OGIEJKO,93
OGRODNY,93
OJCZENASZ,93
OKONOWSKI,93
OKRZEJSKI,93
OLENIAK,93
OLSZANICKI,93
OŁOTA,93
OSESEK,93
PALASZ,93
PAPIERKIEWICZ,93
PASICIEL,93
PAWŁAT,93
PERSZON,93
PETRUCZYNIK,93
PIC,93
PICHNIARCZYK,93
PIDDUBNYI,93
PIEDO,93
PIETRASINA,93
PIETRUCZAK,93
PILACIŃSKI,93
PILAROWSKI,93
PLUST,93
PŁOCINICZAK,93
PODAWCA,93
PODKANOWICZ,93
POLANIN,93
POŁANIECKI,93
POSADZKI,93
POŚPIESZYŃSKI,93
POTERSKI,93
POWIRSKI,93
PRASAK,93
PRASOL,93
PREKOP,93
PRZYDROŻNY,93
PUCHLIK,93
PYSZEL,93
PYZNARSKI,93
ROCHECKI,93
ROMSICKI,93
ROSZCZEWSKI,93
RÓZIECKI,93
RUBCZEWSKI,93
RUSIAK,93
SACHARZEWSKI,93
SAŁADAJCZYK,93
SAMAGALSKI,93
SAMCIK,93
SCHODNIK,93
SCHULZE,93
SENENKO,93
SIANOS,93
SIEKIELSKI,93
SIENNY,93
SIEWKO,93
SIUDYM,93
SKORECKI,93
SKROŚ,93
SKRZESIŃSKI,93
SNOP,93
SOMERLIK,93
SOTEL,93
STANIECZEK,93
STASIERSKI,93
STEFANIDES,93
STER,93
STRAUCHMANN,93
SUFRYD,93
SUŁAWA,93
SWOJNÓG,93
SYMOŁON,93
SYREWICZ,93
SYRKIEWICZ,93
SZAJDER,93
SZAŁ,93
SZELAST,93
SZLAFKA,93
SZPRENGIEL,93
SZTANDUR,93
SZTYLC,93
SZUKAJ,93
SZUMIŁOWSKI,93
SZWALSKI,93
SZYPOSZYŃSKI,93
ŚLANDA,93
ŚMIAŁY,93
ŚWIDROŃ,93
ŚWIERCZYK,93
ŚWIEŻAWSKI,93
TARADAJ,93
TELEC,93
TELEŚNICKI,93
TEREBECKI,93
TEREPKA,93
TOJZA,93
TRAŁKA,93
TREJTOWICZ,93
TRETYN,93
TRUSH,93
TRZEJA,93
TUZINOWSKI,93
TYFEL,93
TYLAWSKI,93
UFEL,93
URYZAJ,93
WALCZYBOK,93
WAŚKÓW,93
WAWRYNOWICZ,93
WAWRZONOWSKI,93
WEDMAN,93
WENCLEWSKI,93
WIESZCZAK,93
WILCZKOWIAK,93
WISOWATY,93
WŁAŚNIAK,93
WOJCICKI,93
WOLKIEWICZ,93
WOŁCZECKI,93
WRUCHA,93
WŚCIUBIAK,93
WYCZACHOWSKI,93
YAREMKO,93
ZABRZEWSKI,93
ZACZENIUK,93
ZĄBROŃ,93
ZDUNIEWICZ,93
ZDZYMIRA,93
ZŁONKIEWICZ,93
ZORN,93
ŻYROMSKI,93
ŻYTNIAK,93
ADHIKARI,92
ATŁASIK,92
BABAŃCZYK,92
BACHUR,92
BADURAK,92
BAKOŃ,92
BAŁKOWIEC,92
BANDZEREWICZ,92
BAZANIAK,92
BEDNIK,92
BEGGER,92
BEŁDZIŃSKI,92
BEŁKA,92
BIAŁOMYZY,92
BIAŁOŻYŃSKI,92
BIEGAJSKI,92
BIELOV,92
BIERZA,92
BISMOR,92
BISZOF,92
BOJAROJĆ,92
BOJARUNIEC,92
BOMERSBACH,92
BORNUS,92
BRAJEWSKI,92
BUKIEL,92
BUNAR,92
BURETA,92
BUSIAKIEWICZ,92
BYSZUK,92
CHACHOWSKI,92
CHRABKOWSKI,92
CHROŃ,92
CYGNAR,92
CYPCAR,92
CZAJER,92
CZARTOSZEWSKI,92
CZOŁNOWSKI,92
DANYLCHENKO,92
DAROWNY,92
DEIK,92
DELINOWSKI,92
DENISZCZUK,92
DERMONT,92
DINTER,92
DISTERHEFT,92
DŁAWICHOWSKI,92
DOBKOWICZ,92
DOWHAN,92
DRADRACH,92
DRAGANEK,92
DRASZCZYK,92
DREGIER,92
DROŻDŻAŁ,92
DUCZMALEWSKI,92
DWULAT,92
DYDYK,92
DZIKOWICKI,92
DZIOBOŃ,92
DZIÓBA,92
EJNIK,92
FARBISZ,92
FETRAŚ,92
FIDRYSIAK,92
FIŁKA,92
FLADZIŃSKI,92
FLASZCZYŃSKI,92
FONDERSKI,92
FRANCUZIAK,92
FREJNO,92
FRYKOWSKI,92
GANSZCZYK,92
GĄSIECKI,92
GIPSIAK,92
GLABUS,92
GLESZCZYŃSKI,92
GŁAZEK,92
GNELA,92
GNIEŁKA,92
GÓRNI,92
GRYCEL,92
GRYCZMAN,92
GRYNIENKO,92
GRYSAK,92
GURGA,92
GUZINA,92
HANF,92
HAUER,92
HELIOS,92
HEŁDAK,92
HERNET,92
HRYNYK,92
IGNAR,92
IMBIORSKI,92
IWASZCZYSZYN,92
JAKUBINA,92
JANG,92
JARMOSZEWICZ,92
JASIURSKI,92
JENDRAS,92
JUŃCZYK,92
JURGAWKA,92
KAMIENIORZ,92
KAŹMIRSKI,92
KICZKO,92
KITOWICZ,92
KLANK,92
KLĘKA,92
KLIMOVICH,92
KLOFCZYŃSKI,92
KNIOCH,92
KNYCHALSKI,92
KOIM,92
KOJZAR,92
KOŁACZKIEWICZ,92
KOŁADA,92
KOŁASKI,92
KONKIEWICZ,92
KORKOWSKI,92
KORWIN-PIOTROWSKI,92
KORZEWSKI,92
KORZONKIEWICZ,92
KOSTRZEWIŃSKI,92
KOSZYŃSKI,92
KOTLESZKA,92
KREJZA,92
KRĘTOSZ,92
KRZEPIŃSKI,92
KRZOSA,92
KRZYSZTOPORSKI,92
KURMIN,92
KUSIAKIEWICZ,92
KUTZMANN,92
KWIATOSIŃSKI,92
LANDA,92
LANDWÓJTOWICZ,92
LEWIN,92
LICHOŃCZAK,92
LINART,92
LIPIANIN,92
LITWIAK,92
LOEWENAU,92
LYMAR,92
ŁAŃKO,92
ŁAZARECKI,92
ŁOPUSIŃSKI,92
ŁUCEWICZ,92
MACIĄTEK,92
MADZIEWICZ,92
MAGUZA,92
MAKAŁOWSKI,92
MAŁACHA,92
MARYON,92
MATELAK,92
MATROS,92
MENDYKOWSKI,92
MILOWSKI,92
MINDUR,92
MIRZYŃSKI,92
MOLAWKA,92
MORTON,92
MORZYCKI,92
MUDRYI,92
MULEWICZ,92
MURZYDŁO,92
MYKHAILOVSKYI,92
MYLER,92
MYSAK,92
NERS,92
NIEMASIK,92
OKLECIŃSKI,92
OLCHANOWSKI,92
OLESZYŃSKI,92
ONYŚK,92
OPOREK,92
ORDZIŃSKI,92
OSENDOWSKI,92
PACHNIAK,92
PACLER,92
PALPUCHOWSKI,92
PARTYCKI,92
PELYKH,92
PERDION,92
PISZCZAŁA,92
PIWCZYŃSKI,92
PIWODA,92
PLECIAK,92
PODRUCKI,92
POLISZAK,92
POTRAPELUK,92
PTAŚNIK,92
PUJER,92
PULNIK,92
PYSZCZYŃSKI,92
PYTELEWSKI,92
RADCZYC,92
RADZIWIŁOWICZ,92
RAPCIA,92
RAUER,92
RĄBEL,92
REKTOR,92
ROGASKI,92
ROLL,92
ROMANTOWSKI,92
ROSSI,92
ROZENFELD,92
RUDLICKI,92
RUSA,92
RUŚĆ,92
RZETECKI,92
SACHAR,92
SADAWA,92
SINIOR,92
SKELNIK,92
SKWIERZYŃSKI,92
SOBERKA,92
SPASIUK,92
SPIGIEL,92
SPRUS,92
STAFIJOWSKI,92
STAFIN,92
STASZKOWIAN,92
STEĆKO,92
STRASBURGER,92
STUDZIENNY,92
SUPA,92
SURMACEWICZ,92
SYLLA,92
SZACHERSKI,92
SZACHOGŁUCHOWICZ,92
SZANDECKI,92
SZELEWSKI,92
SZKOLNY,92
SZLĘDAK,92
SZTUPECKI,92
ŚCIUBEŁ,92
ŚLEDZIANOWSKI,92
ŚLÓSAREK,92
ŚPIKOWSKI,92
ŚWIENTY,92
ŚWIEŚCIAK,92
TAMKUN,92
TEKLA,92
TELINGA,92
TENUS,92
TOLASZ,92
TOMASHEVSKYI,92
TRĄPCZYŃSKI,92
TUSKOWSKI,92
TUZINEK,92
TYCHAŃSKI,92
TYMOWICZ,92
TYSARCZYK,92
ULAK,92
UMECKI,92
URYN,92
WANARSKI,92
WANDZIOCH,92
WARCIAK,92
WASEŃCZUK,92
WATYCHOWICZ,92
WEIDEMANN,92
WEZNEROWICZ,92
WIELGOPOLAN,92
WINCZAKIEWICZ,92
WITECZEK,92
WOJDACZ,92
WOROTYŃSKI,92
WOZIGNÓJ,92
WOŻYŃSKI,92
WÓJCISZYN,92
WRZOCHOL,92
WYBULT,92
WYLAZŁOWSKI,92
WYRWIAK,92
WYŻGOWSKI,92
ZAKLUKIEWICZ,92
ZAMOŻNY,92
ZATWARDNICKI,92
ZIAJKO,92
ZNAJEWSKI,92
ZORUK,92
ŻEBERKIEWICZ,92
ŻÓRAW,92
ŻYCHLEWICZ,92
ŻYDOWSKI,92
ŻYWALEWSKI,92
ADAMISZYN,91
ADAMS,91
ANUSIK,91
BABKA,91
BADASZEWSKI,91
BAJGIER,91
BAŁAJ,91
BANDZUL,91
BANT,91
BAREJKO,91
BARSUL,91
BARTLEWICZ,91
BATRUCH,91
BAUCZ,91
BETLER,91
BIEDZIŃSKI,91
BIGDOWSKI,91
BŁAWICKI,91
BŁOTNIAK,91
BRAM,91
BREITENBACH,91
BUKATO,91
BURKO,91
BYTOM,91
BZODEK,91
CHERKASHYN,91
CHOLAJDA,91
CHORĘBAŁA,91
CHOROSTECKI,91
CHRAPOŃSKI,91
CHWALEBA,91
CIERPICA,91
CYPRYSIAK,91
CZAPELSKI,91
CZARCZYK,91
CZERBNIAK,91
CZOPUR,91
CZUJKOWSKI,91
CZURCZAK,91
ĆMOCH,91
DAJOS,91
DANIECKI,91
DAWCZYŃSKI,91
DEMBY,91
DEUTER,91
DOBISZ,91
DOLOTA,91
DOMICZ,91
DRUTEL,91
DRYŃSKI,91
DRYPA,91
DRYTKIEWICZ,91
DRZYMKOWSKI,91
DUBLINOWSKI,91
DULLEK,91
DURAŁEK,91
DZBUK,91
DZIĘDZIOŁ,91
DZIŻA,91
FIEDOROW,91
FIGIŃSKI,91
FILIPOV,91
FLACZYK,91
FORMEJSTER,91
FRAŃ,91
FUKSIEWICZ,91
GADULSKI,91
GARBACIOK,91
GAWARSKI,91
GERLIC,91
GIEROK,91
GLIGA,91
GNIŁA,91
GOŁOMBIEWSKI,91
GORYNIAK,91
GROEGER,91
GRZECHCA,91
GRZESIAKOWSKI,91
GULANOWSKI,91
GUS,91
GUŻDA,91
GWIŹDZIEL,91
HALBINIAK,91
HANKOWSKI,91
HARAŃ,91
HARRIS,91
HATALSKI,91
HIBSZER,91
HODERNY,91
HOREMSKI,91
ILCHYSHYN,91
IWANIK,91
IŻAK,91
JAHNZ,91
JONA,91
JOST,91
JURAŁOWICZ,91
JUZIUK,91
KABA,91
KALINKO,91
KARGÓL,91
KASPRÓW,91
KASZEWIAK,91
KASZTAN,91
KASZTELEWICZ,91
KAUL,91
KĄDROWSKI,91
KIERLIK,91
KISIELNICKI,91
KLABIS,91
KLAHS,91
KLAPIŃSKI,91
KLÓSKOWSKI,91
KŁACZKIEWICZ,91
KŁOKOWSKI,91
KŁUBOWICZ,91
KMIEĆKOWIAK,91
KOBRZENIECKI,91
KONIKIEWICZ,91
KORBEŃ,91
KORCZEK,91
KOSIORKIEWICZ,91
KOŚKO,91
KOTNAROWSKI,91
KRAIN,91
KRAJANOWSKI,91
KRALL,91
KRASULAK,91
KROPIDŁO,91
KRÓLEWIAK,91
KRYZHANOVSKYI,91
KUCERA,91
KUHNERT,91
KURNAT,91
KWOSEK,91
LECHICKI,91
LEDWÓJCIK,91
LONGAWA,91
LUŹNY,91
MACIAKIEWICZ,91
MAJORKOWSKI,91
MALOTTKI,91
MAŁYNIAK,91
MARANDA,91
MESZKO,91
MIEZIANKO,91
MIKŁOSZ,91
MIKORSKI,91
MIKOSZEK,91
MILERSKI,91
MINCZEWSKI,91
MISINA,91
MISTECKI,91
MISTRZYK,91
MOJSIEJ,91
MOKROWIECKI,91
MOLDOVAN,91
MOORE,91
MORAWIETZ,91
MROSKOWIAK,91
MUKLEWICZ,91
MYJKOWSKI,91
NECKAR,91
NIEDOŚMIAŁEK,91
OBAREK,91
OMAN,91
OPŁOCKI,91
ORLOVSKYI,91
OŚCIAK,91
PAECH,91
PAŃPUCH,91
PARADECKI,91
PASIECZYŃSKI,91
PATRZYLAS,91
PAZDYGA,91
PAZIUK,91
PETKOWICZ,91
PETRUCZENKO,91
PIESZCZOCH,91
POROSA,91
PRUC,91
PRZEWIEŹLIK,91
PSKIET,91
PSYKAŁA,91
PUACZ,91
PYCIO,91
RADNIECKI,91
RADUCHOWSKI,91
RAIŃSKI,91
RAPCEWICZ,91
RAPSIEWICZ,91
REREK,91
REVA,91
ROGOŻYŃSKI,91
RÓŻACKI,91
RUBEL,91
RYNCZAK,91
SEIFFERT,91
SERWINOWSKI,91
SIŁACZUK,91
SIUDZIAK,91
SKITAŁ,91
SKRZETUSKI,91
SKUBICH,91
SŁOJKOWSKI,91
SŁOWEK,91
SOBASZKIEWICZ,91
SODKIEWICZ,91
SOŁDACZUK,91
